Symbol,Company,Sectors,nb_matched_measures,raw_score,normalized_score,Weight
DRI,Darden Restaurants,['Industrials'],1,1,1.0,"0,0004"
DTE,DTE Energy,['Public Services'],4,-2,-0.5,"0,0005"
DUK,Duke Energy,['Public Services'],4,-2,-0.5,"0,0017"
DVA,DaVita,['Healthcare'],2,0,0.0,"0,0002"
DVN,Devon Energy,['Energy'],1,1,1.0,"0,0004"
DXCM,Dexcom,"['Technology', 'Healthcare']",9,-3,-0.333,"0,0005"
EA,Electronic Arts,['Technology'],8,-4,-0.5,"0,0008"
EBAY,eBay,['Technology'],8,-4,-0.5,"0,0008"
ECL,Ecolab,['Industrials'],1,1,1.0,"0,0014"
ED,Consolidated Edison,['Public Services'],4,-2,-0.5,"0,0006"
EFX,Equifax,['Finance'],3,-3,-1.0,"0,0005"
EG,Everest Group,['Finance'],3,-3,-1.0,"0,0002"
EIX,Edison International,['Public Services'],4,-2,-0.5,"0,0004"
EL,Estée Lauder Companies (The),['Finance'],3,-3,-1.0,"0,0006"
ELV,Elevance Health,['Finance'],3,-3,-1.0,"0,0011"
EMN,Eastman Chemical Company,"['Technology', 'Industrials']",9,-3,-0.333,"0,0001"
EMR,Emerson Electric,['Industrials'],1,1,1.0,"0,0013"
ENPH,Enphase Energy,['Technology'],8,-4,-0.5,"0,0001"
EOG,EOG Resources,['Energy'],1,1,1.0,"0,0011"
EPAM,EPAM Systems,['Technology'],8,-4,-0.5,"0,0002"
EQIX,Equinix,['Technology'],8,-4,-0.5,"0,0013"
EQR,Equity Residential,['Public Services'],4,-2,-0.5,"0,0004"
EQT,EQT Corporation,['Energy'],1,1,1.0,"0,0006"
ERIE,Erie Indemnity,['Finance'],3,-3,-1.0,"0,0003"
ES,Eversource Energy,['Public Services'],4,-2,-0.5,"0,0004"
ESS,Essex Property Trust,['Finance'],3,-3,-1.0,"0,0003"
ETN,Eaton Corporation,['Energy'],1,1,1.0,"0,0024"
ETR,Entergy,['Public Services'],4,-2,-0.5,"0,0007"
EVRG,Evergy,['Public Services'],4,-2,-0.5,"0,0003"
EW,Edwards Lifesciences,['Healthcare'],2,0,0.0,"0,0008"
EXC,Exelon,['Technology'],8,-4,-0.5,"0,0008"
EXE,Expand Energy,['Energy'],1,1,1.0,"0,0004"
EXPD,Expeditors International,['Industrials'],1,1,1.0,"0,0003"
EXPE,Expedia Group,['Technology'],8,-4,-0.5,"0,0004"
EXR,Extra Space Storage,['Public Services'],4,-2,-0.5,"0,0005"
F,Ford Motor Company,['Industrials'],1,1,1.0,"0,0008"
FANG,Diamondback Energy,['Energy'],1,1,1.0,"0,0007"
FAST,Fastenal,['Industrials'],1,1,1.0,"0,001"
FCX,Freeport-McMoRan,['Industrials'],1,1,1.0,"0,001"
FDS,FactSet,['Technology'],8,-4,-0.5,"0,0002"
FDX,FedEx,['Industrials'],1,1,1.0,"0,0009"
FE,FirstEnergy,['Public Services'],4,-2,-0.5,"0,0004"
FFIV,"F5, Inc,",['Technology'],8,-4,-0.5,"0,0003"
FI,Fiserv,['Finance'],3,-3,-1.0,"0,0013"
FICO,Fair Isaac,['Technology'],8,-4,-0.5,"0,0005"
FIS,Fidelity National Information Services,"['Technology', 'Finance']",10,-6,-0.6,"0,0006"
FITB,Fifth Third Bancorp,['Finance'],3,-3,-1.0,"0,0005"
FOX,Fox Corporation (Class B),['Public Services'],4,-2,-0.5,"0,0002"
FOXA,Fox Corporation (Class A),['Public Services'],4,-2,-0.5,"0,0002"
FRT,Federal Realty Investment Trust,['Industrials'],1,1,1.0,"0,0001"
FSLR,First Solar,"['Technology', 'Energy']",9,-3,-0.333,"0,0003"
FTNT,Fortinet,['Technology'],8,-4,-0.5,"0,001"
FTV,Fortive,['Technology'],8,-4,-0.5,"0,0003"
GD,General Dynamics,['Industrials'],1,1,1.0,"0,0015"
GDDY,GoDaddy,['Technology'],8,-4,-0.5,"0,0003"
GE,GE Aerospace,['Industrials'],1,1,1.0,"0,0049"
GEHC,GE HealthCare,['Healthcare'],2,0,0.0,"0,0006"
GEN,Gen Digital,['Technology'],8,-4,-0.5,"0,0003"
GEV,GE Vernova,['Technology'],8,-4,-0.5,"0,0029"
GILD,Gilead Sciences,['Healthcare'],2,0,0.0,"0,0025"
GIS,General Mills,['Industrials'],1,1,1.0,"0,0005"
GL,Globe Life,['Finance'],3,-3,-1.0,"0,0002"
GLW,"Corning Inc,",['Industrials'],1,1,1.0,"0,001"
GM,General Motors,['Industrials'],1,1,1.0,"0,0009"
GNRC,Generac,['Industrials'],1,1,1.0,"0,0002"
GOOG,"Alphabet Inc, (Class C)",['Technology'],8,-4,-0.5,"0,0206"
GOOGL,"Alphabet Inc, (Class A)",['Technology'],8,-4,-0.5,"0,0219"
GPC,Genuine Parts Company,['Industrials'],1,1,1.0,"0,0003"
GPN,Global Payments,['Industrials'],1,1,1.0,"0,0004"
GRMN,Garmin,['Technology'],8,-4,-0.5,"0,0008"
GS,Goldman Sachs,['Finance'],3,-3,-1.0,"0,0039"
GWW,"W, W, Grainger",['Industrials'],1,1,1.0,"0,0008"
HAL,Halliburton,['Energy'],1,1,1.0,"0,0003"
HAS,Hasbro,['Technology'],8,-4,-0.5,"0,0002"
HBAN,Huntington Bancshares,['Finance'],3,-3,-1.0,"0,0004"
HCA,HCA Healthcare,['Healthcare'],2,0,0.0,"0,0016"
HD,Home Depot (The),"['Public Services', 'Industrials']",5,-1,-0.2,"0,0069"
HIG,Hartford (The),['Finance'],3,-3,-1.0,"0,0006"
HII,Huntington Ingalls Industries,['Industrials'],1,1,1.0,"0,0002"
HLT,Hilton Worldwide,['Industrials'],1,1,1.0,"0,0011"
HOLX,Hologic,['Healthcare'],2,0,0.0,"0,0003"
HON,Honeywell,['Industrials'],1,1,1.0,"0,0024"
HPE,Hewlett Packard Enterprise,['Technology'],8,-4,-0.5,"0,0005"
HPQ,"HP Inc,",['Technology'],8,-4,-0.5,"0,0004"
HRL,Hormel Foods,['Finance'],3,-3,-1.0,"0,0003"
HSIC,Henry Schein,"['Technology', 'Healthcare']",9,-3,-0.333,"0,0001"
HST,Host Hotels & Resorts,['Industrials'],1,1,1.0,"0,0002"
